Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time	Time_to_finish	Time_to_complete	100% Completed	Developer	Publisher
The Surge	378540	Action, RPG	Souls-like, Action, RPG, Sci-fi, Difficult, Third Person, Singleplayer, Mechs, Violent, Hack and Slash, Robots, Open World, Exploration, Cyberpunk, Gore, Action RPG, Adventure, Futuristic, Horror, Atmospheric	8621	75.3392877856397	4.1	21	47	NA	Deck13	Focus Entertainment
Scythe: Digital Edition	718560	Strategy	Board Game, Strategy, Turn-Based, 4X, Multiplayer, Tabletop, Alternate History, Mechs, Hex Grid, Turn-Based Strategy, Sci-fi, Steampunk, World War I, Historical, Singleplayer, Character Customization, Beautiful, Hand-drawn, Tactical, PvP	3073	89.9446794663196	4.1	2	67	NA	The Knights of Unity	The Knights of Unity
Regions Of Ruin	680360	Action, Adventure, Indie, RPG	RPG, Adventure, Indie, Hack and Slash, Pixel Graphics, 2D, Side Scroller, Action RPG, Fantasy, Dungeon Crawler, Resource Management, Base-Building, Building, 2D Platformer, Exploration, Atmospheric, Singleplayer, Platformer, Colony Sim, City Builder	4264	87.3358348968105	4.1	10	19	NA	Gameclaw Studio	Gameclaw Studio
A Story About My Uncle	278360	Adventure, Casual, Indie	Adventure, First-Person, Parkour, Singleplayer, Indie, Atmospheric, Platformer, Story Rich, Puzzle, 3D Platformer, Fantasy, Casual, Short, Sci-fi, Relaxing, Narration, Action, Great Soundtrack, Family Friendly, Difficult	28133	91.8209931397291	4.1	3	9	NA	Gone North Games	Coffee Stain Publishing
Grim Fandango Remastered	316790	Adventure	Adventure, Point & Click, Classic, Story Rich, Comedy, Noir, Cult Classic, Great Soundtrack, Singleplayer, Remake, Puzzle, Atmospheric, Retro, Funny, 1990's, Dark Humor, Third Person, Indie, Difficult, Escape Room	6782	90.4452963727514	4.1	11	12	NA	Double Fine Productions	Double Fine Productions
DUCATI - 90th Anniversary	456780	Racing, Simulation, Sports	Motorbike, Cycling, Simulation, Racing, Sports	230	70	4.1	11	20	NA	Milestone S.r.l.	Milestone S.r.l.
Trouble In The Manor	338530	Action, Casual, Indie	Casual, Action, Indie, Multiplayer, Horror, PvP, Pixel Graphics	305	56.3934426229508	4.1	Sin registro de tiempo	Sin registro de tiempo	NA	Charyb Games	Charyb Games
Day of the Tentacle Remastered	388210	Adventure	Point & Click, Adventure, Classic, Time Travel, Comedy, Cartoony, 1990's, Puzzle, Funny, Singleplayer, Retro, Cult Classic, Remake, 2D, Story Rich, Great Soundtrack, Pixel Graphics, Sci-fi, Family Friendly, Indie	3783	96.9865186360032	4.1	5	6	NA	Double Fine Productions	Double Fine Productions
Fortified	334210	Action, Indie, Strategy	Action, Tower Defense, Indie, Co-op, Strategy, Multiplayer, Third-Person Shooter, Aliens, Sci-fi, Shooter, Online Co-Op, Third Person, Singleplayer	1669	75.6141402037148	4.1	5	0	NA	Siege Camp	Siege Camp
Mahluk:Dark demon	503480	Action, Adventure, Casual, Indie, RPG	Action, Adventure, Indie, RPG, Casual, Platformer, Pixel Graphics, Action-Adventure, Puzzle-Platformer, 2D, Hack and Slash, Dark, Difficult, Puzzle, Arcade, Metroidvania, Side Scroller, 2D Platformer, Stylized, Parkour	145	64.8275862068965	4.1	Sin registro de tiempo	Sin registro de tiempo	NA	Serkan Bakar	Serkan Bakar
Shark Attack Deathmatch 2	330580	Action, Indie	Horror, Arena Shooter, FPS, Survival Horror, Shoot 'Em Up, Open World, Exploration, PvP, Hunting, Shooter, Fighting, Survival, First-Person, 3D, Underwater, Action, Adventure, Combat, Co-op, Online Co-Op	1868	75.8565310492505	4.1	3	6	NA	Lighthouse Games Studio	Lighthouse Games Studio
RiME	493200	Adventure	Adventure, Puzzle, Exploration, Atmospheric, Great Soundtrack, Singleplayer, Colorful, Fantasy, Indie, Relaxing, 3D Platformer, Open World, Story Rich, Action, Walking Simulator, Third Person, Family Friendly, Platformer, Casual, Controller	4758	90.2269861286255	4.1	6	10	NA	Tequila Works, QLOC	Grey Box, Six Foot
SimplePlanes	397340	Indie, Simulation	Automation, Flight, Sandbox, Physics, Exploration, Building, Racing, Automobile Sim, Combat Racing, Military, Controller, 3D, Open World, Strategy, Funny, Collectathon, Action, Vehicular Combat, Artificial Intelligence, Moddable	9138	92.9525060188225	4.0	5	0	NA	Jundroo, LLC	Jundroo, LLC
Sniper Elite 3	238090	Action, Adventure	Sniper, Action, Stealth, Co-op, World War II, Multiplayer, Shooter, Adventure, Third-Person Shooter, Tactical, War, Third Person, Singleplayer, Online Co-Op, Open World, Gore, FPS, Strategy, Atmospheric, Simulation	23889	82.1047343965842	4.0	9	30	NA	Rebellion	Rebellion
Lakeview Cabin Collection	361990	Indie	Survival Horror, 2D Platformer, Puzzle-Platformer, Perma Death, Character Action Game, Difficult, Horror, Platformer, 2D, Dynamic Narration, Psychological Horror, Dark Humor, Funny, Dark Comedy, Choices Matter, Exploration, Sandbox, Action, Puzzle, Pixel Graphics	1688	93.2464454976303	4.0	9	20	NA	Roope Tamminen	Roope Tamminen
Laraan	493710	Action, Adventure, Indie	Action, Adventure, Indie, Exploration	257	48.2490272373541	4.0	1	2	NA	Flynn's Arcade	Flynn's Arcade
The Inner World: The Last Wind Monk	613470	Adventure, Indie	Adventure, Retro, Point & Click, Funny, Puzzle, Story Rich, 2D, Great Soundtrack, Comedy, Singleplayer, Classic, Indie, 1990's	309	89.9676375404531	4.0	7	9	NA	Studio Fizbin	Headup GmbH
The Darkside Detective	368390	Adventure, Casual, Indie	Point & Click, Detective, Pixel Graphics, Adventure, Story Rich, Mystery, Comedy, Funny, Singleplayer, Indie, Supernatural, Retro, Puzzle, 2D, Casual, Dark Humor, Lovecraftian, Cartoony, 1980s, 1990's	3472	95.1036866359447	4.0	4	6	NA	Spooky Doorway	Akupara Games
Sakura Spirit	313740	Indie	Anime, Visual Novel, Nudity, Mature, Dating Sim, Singleplayer, Cute, Sexual Content, Indie, Romance, Fantasy, Hentai, Short, Simulation, Casual, 2D, Beautiful, Comedy, Memes, Dog	7184	78.4799554565702	4.0	3	4	NA	Winged Cloud	Winged Cloud
Wizard of Legend	445980	Action, Adventure, Indie	Action Roguelike, Pixel Graphics, Rogue-like, Action, Dungeon Crawler, Local Co-Op, Magic, Multiplayer, Adventure, Rogue-lite, Indie, Co-op, Hack and Slash, Local Multiplayer, Difficult, 2D, Singleplayer, RPG, Procedural Generation, Fast-Paced	17159	91.13001923189	4.0	7	24	NA	Contingent99	Contingent99, Humble Games
The Jackbox Party Pack 2	397460	Casual, Indie, Strategy	Trivia, Local Multiplayer, Casual, Comedy, Indie, Strategy, Party, Funny, Local Co-Op, Multiplayer, Party Game, Board Game, Co-op, Family Friendly	1805	95.9002770083103	4.0	6	9	NA	Jackbox Games, Inc.	Jackbox Games, Inc.
System Shock: Enhanced Edition	410710	Action, Adventure, RPG	Immersive Sim, Cyberpunk, RPG, Classic, Horror, Sci-fi, Action, FPS, Adventure, First-Person, 1990's, Retro, Cult Classic, Singleplayer, Atmospheric, Great Soundtrack, Story Rich, Pixel Graphics, Shooter, Metroidvania	1707	90.1581722319859	4.0	13	21	NA	Looking Glass Studios, Nightdive Studios	Nightdive Studios
Cook, Serve, Delicious! 2!!	386620	Action, Indie, Simulation, Strategy	Typing, Casual, Management, Difficult, Arcade, 2D, Strategy, Funny, Alternate History, Action, Simulation, Colorful, Family Friendly, Comedy, Co-op, Local Co-Op, Cooking, Local Multiplayer, Multiplayer, Singleplayer	2711	89.3766137956474	4.0	26	79	NA	Vertigo Gaming Inc.	Vertigo Gaming Inc.
Warriors of Vilvatikta	515690	Adventure, Indie, RPG	RPG, Indie, Adventure, RPGMaker	144	48.6111111111111	4.0	Sin registro de tiempo	Sin registro de tiempo	NA	RPG Video	Back To Basics Gaming
STARWHAL	263020	Action, Casual, Indie, Sports	Local Multiplayer, Indie, Funny, Multiplayer, Casual, Action, Sports, Arcade, Space, 4 Player Local, Competitive, 2D, Local Co-Op, Fighting, Party Game, Retro, Great Soundtrack, Family Friendly, Time Attack, Fast-Paced	687	88.7918486171761	4.0	1	0	NA	Breakfall	Breakfall
Sniper Elite	3700	Action	Action, Sniper, Stealth, World War II, Third-Person Shooter, Singleplayer, Shooter, Multiplayer, Third Person, War, FPS, Classic, Co-op, Tactical, Controller, Simulation, First-Person, Open World	2928	77.2882513661202	4.0	13	20	NA	Rebellion	Rebellion
State of Anarchy	463210	Action, Casual, Indie, Simulation	Indie, Action, Casual, Shoot 'Em Up, Top-Down Shooter, Simulation, Shooter, Funny, 2D, Hand-drawn, Singleplayer, Multiplayer	1045	85.2631578947368	4.0	1	4	NA	Lapovich	New Reality Games
The New Queen	552570	Adventure, Casual, Indie, RPG	RPG, Adventure, Indie, Casual, RPGMaker, Female Protagonist	20	55	4.0	Sin registro de tiempo	Sin registro de tiempo	NA	Warfare Studios	Warfare Studios
Bleed 2	396350	Action, Indie	Action, Indie, Shoot 'Em Up, Bullet Hell, Arcade, Female Protagonist, Platformer, 2D, Local Co-Op, Pixel Graphics, Procedural Generation, Action Roguelike, Great Soundtrack, Twin Stick Shooter, Fast-Paced	773	95.8602846054334	4.0	1	9	NA	Ian Campbell	Ian Campbell
Red Comrades 3: Return of Alaska. Reloaded	546220	Adventure	Adventure, Puzzle, Dark Humor, Singleplayer, Hand-drawn, Comedy, Hidden Object, Remake, Time Travel, Funny, 2D, Classic, Atmospheric, Point & Click, Cartoony, Great Soundtrack, Story Rich, Cult Classic, Retro, Third Person	323	81.4241486068111	4.0	4	7	NA	Buka Development, Saturn Plus	ESDigital Games
Pixel Piracy	264140	Adventure, Indie, RPG, Simulation	Pirates, Action Roguelike, Naval Combat, Pixel Graphics, Indie, RPG, Sandbox, 2D, Open World, Rogue-like, Simulation, Adventure, Singleplayer, Action, Side Scroller, Building, Rogue-lite, Strategy, Survival, Crafting	6933	63.7819125919515	4.0	8	28	NA	Vitali Kirpu	
Guardians of Victoria	385080	Casual	Casual, Indie, Fantasy, Steampunk, Adventure, Runner, Platformer	238	25.2100840336134	4.0	Sin registro de tiempo	Sin registro de tiempo	NA	Tall Story Studios	New Reality Games
Garry's Mod	4000	Indie, Simulation	Sandbox, Multiplayer, Funny, Moddable, Building, Comedy, Mod, Co-op, First-Person, Physics, Simulation, Online Co-Op, FPS, Singleplayer, Action, Animation & Modeling, Shooter, Indie, Massively Multiplayer, Adventure	919706	96.6600196149639	4.0	56	595	NA	Facepunch Studios	Valve
The Bard's Tale	41900	Action, Adventure, RPG	RPG, Adventure, Comedy, Action, Fantasy, Funny, Parody , Action RPG, Singleplayer, Classic, Hack and Slash, Medieval, Isometric	1173	76.385336743393	4.0	14	27	NA	inXile Entertainment	inXile Entertainment
Pirate Pop Plus	487350	Action, Casual, Indie	Casual, Action, Indie, Arcade, Retro, Pixel Graphics	142	63.3802816901408	4.0	2	25	NA	dadako	13AM Shipping Solutions, 13AM Games
Tinboy	399430	Casual, Indie	Side Scroller, Trading Card Game, Precision Platformer, Puzzle-Platformer, 2D Platformer, Puzzle, Archery, Tutorial, Difficult, Platformer, 2D, Controller, Action, Casual, Pixel Graphics, Logic, Singleplayer, Indie, Physics, Robots	483	62.7329192546584	4.0	3	0	NA	Interactive Stone	Interactive Stone
Melting Hearts: Our Love Will Grow 2	459020	Adventure, Indie, RPG, Simulation	Farming Sim, Simulation, Life Sim, Adventure, Indie, RPG, Agriculture, RPGMaker, Crafting, Story Rich, Anime	62	58.0645161290323	4.0	Sin registro de tiempo	Sin registro de tiempo	NA	John Wizard	John Wizard
Beyond Eyes	356050	Adventure, Indie	Walking Simulator, Indie, Female Protagonist, Adventure, Atmospheric, Singleplayer, Exploration, Third Person, Short, Visual Novel, Colorful, Cute, Casual, Stylized	1510	67.2847682119205	4.0	2	3	NA	Tiger and Squid, Team17 Digital Ltd	Team17 Digital Ltd
Zup! 7	658560	Casual, Indie	Puzzle, Casual, Indie, Fast-Paced, 2D, Physics, Short, Relaxing, Minimalist, Puzzle-Platformer, Point & Click, Cute, Strategy, Pixel Graphics, Singleplayer, Tactical, Family Friendly, Destruction, Sequel, Abstract	1946	95.5806783144913	4.0	1	1	X	Quiet River	Quiet River
Power-Up	312640	Action, Indie	Indie, Action, Shoot 'Em Up, Side Scroller	254	58.2677165354331	4.0	0	12	NA	Psychotic Psoftware	Psychotic Psoftware
The Final Station	435530	Action, Adventure, Indie	Pixel Graphics, Post-apocalyptic, Survival, Indie, Adventure, 2D, Zombies, Action, Atmospheric, Trains, Singleplayer, Story Rich, Resource Management, Horror, Shooter, Side Scroller, Great Soundtrack, Sci-fi, Platformer, Short	7241	86.5626294710675	4.0	5	7	NA	DO MY BEST	tinyBuild
State of Decay: Year-One	329430	Action, RPG, Simulation	Zombies, Survival, Open World, Base-Building, Post-apocalyptic, Singleplayer, Action, RPG, Third Person, Multiplayer, Simulation, Sandbox, Survival Horror, Atmospheric, Gore, Crafting, Co-op, Perma Death, Adventure, Great Soundtrack	10254	80.9440218451336	4.0	17	74	NA	Undead Labs	Xbox Game Studios
Passpartout: The Starving Artist	582550	Casual, Indie, Simulation	Casual, Simulation, Indie, Singleplayer, Relaxing, Hand-drawn, Funny, Cartoon, Colorful, Family Friendly, Design & Illustration, Multiplayer, Great Soundtrack, Action, Cute, Memes, Cartoony, Strategy, Horror	5666	87.3808683374515	4.0	4	10	NA	Flamebait Games	Flamebait Games, Gamera Games
Oddworld: Munch's Oddysee	15740	Action, Adventure, Strategy	Adventure, Action, Strategy, Platformer, 3D Platformer, Comedy, Classic, Puzzle, Funny	883	77.123442808607	4.0	12	18	NA	Oddworld Inhabitants	Oddworld Inhabitants
OR	586620	Casual, Indie	Casual, Indie, Puzzle	162	35.8024691358025	4.0	Sin registro de tiempo	Sin registro de tiempo	NA	Camagames	Future Lighthouse
Planets Under Attack	218510	Indie, Strategy	Strategy, Indie, Space, Multiplayer, Sci-fi, RTS, Singleplayer	1048	72.9007633587786	4.0	6	38	NA	Targem Games	Topware Interactive
Slingshot people	542340	Action, Casual, Indie, Simulation	Action, Indie, Simulation, Casual, Nudity, FPS, Psychological Horror	1362	47.136563876652	4.0	1	0	NA	StalkerAlex	StalkerAlex.
AI: Rampage	438020	Action, Indie, Strategy	Indie, Strategy, Action, Top-Down	465	36.7741935483871	4.0	0	3	NA	Sekerin Productions	New Reality Games
Papers, Please	239030	Adventure, Indie	Indie, Political, Simulation, Singleplayer, Point & Click, Dystopian , Pixel Graphics, Multiple Endings, Puzzle, Story Rich, Retro, Atmospheric, 2D, Great Soundtrack, Addictive, Strategy, Replay Value, Casual, Adventure, Difficult	56091	97.0583516072097	4.0	5	16	NA	Lucas Pope	3909
School Bus Fun	301990	Casual	Casual, Action, Time Management, Female Protagonist, Simulation, Nudity	89	67.4157303370787	4.0	3	0	NA	Fancy Bytes, Reactor	United Independent Entertainment
Bit Blaster XL	433950	Action, Casual, Indie	Indie, Arcade, Pixel Graphics, Casual, Shoot 'Em Up, Action, Retro, Space, 2D, Bullet Hell, Shooter, Great Soundtrack, Singleplayer, Score Attack, Sci-fi, Difficult, Survival, Family Friendly, Controller, Replay Value	6099	96.7207738973602	4.0	3	5	NA	Adamvision Studios	Adamvision Studios
140	242820	Action, Indie	Platformer, Indie, Rhythm, Minimalist, Music, Great Soundtrack, Difficult, Short, Singleplayer, 2D, Colorful, Action, Puzzle, Precision Platformer, Abstract, Puzzle-Platformer, Side Scroller, Casual	4361	92.7080944737446	3.9	1	6	NA	Carlsen Games	Carlsen Games
Stonerid	315920	Action, Indie	Action, Indie, Platformer, 2D, Difficult	192	65.625	3.9	Sin registro de tiempo	Sin registro de tiempo	NA	Enitvare	Enitvare
Surgeon Simulator	233720	Action, Indie, Simulation	Simulation, Funny, Comedy, Physics, Indie, Dark Humor, Medical Sim, Puzzle, Difficult, Intentionally Awkward Controls, VR, First-Person, Casual, Aliens, Dark, Singleplayer, Action, Blood, Gore, Great Soundtrack	15808	82.3823380566802	3.9	3	16	NA	Bossa Studios	tinyBuild
Poi	401810	Action, Adventure, Indie	3D Platformer, Collectathon, Indie, Platformer, Family Friendly, Action, Female Protagonist, Soundtrack, Colorful, Nostalgia, Exploration, Adventure, Cartoony, 3D, Retro, Cute, Nonlinear, Action-Adventure, Singleplayer, Controller	686	91.1078717201166	3.9	6	9	NA	PolyKid	PolyKid
Gunpoint	206190	Action, Indie, Strategy	Stealth, Indie, Puzzle, 2D, Pixel Graphics, Singleplayer, Comedy, Action, Strategy, Noir, Platformer, Great Soundtrack, Funny, Short, Hacking, Level Editor, GameMaker, Story Rich, Adventure, Sci-fi	12272	97.5391134289439	3.9	3	7	NA	Suspicious Developments	Suspicious Developments
METAL GEAR SOLID V: THE PHANTOM PAIN	287700	Action, Adventure	Stealth, Open World, Action, Story Rich, Tactical, Cinematic, Great Soundtrack, Third Person, Singleplayer, Atmospheric, Adventure, Horses, Multiplayer, Third-Person Shooter, Shooter, Replay Value, Sandbox, Dark, Sci-fi, Heist	81161	90.998139500499	3.9	46	164	NA	Konami Digital Entertainment	Konami Digital Entertainment
Action Henk	285820	Action, Indie, Racing	Racing, Action, Indie, Platformer, Multiplayer, Funny, Level Editor, Runner, Singleplayer, Local Multiplayer, 4 Player Local, Time Attack	814	88.4520884520884	3.9	4	17	NA	RageSquid	RageSquid
Deadly Sin 2	285420	Casual, RPG	RPG, Casual, RPGMaker, Singleplayer, Indie, JRPG	106	85.8490566037736	3.9	15	29	NA	Dancing Dragon Games	Komodo
Project CARS	234630	Racing, Simulation, Sports	Racing, Simulation, Automobile Sim, Driving, Multiplayer, Realistic, Sports, Singleplayer, Physics, VR, Atmospheric, First-Person, Controller, Action, Open World, Third Person, Co-op, Arcade, TrackIR, Indie	14115	78.8522848034006	3.9	33	107	NA	Slightly Mad Studios	Codemasters, Slightly Mad Studios, Electronic Arts
Shadow Tactics: Blades of the Shogun	418240	Indie, Strategy	Stealth, Strategy, Tactical, Ninja, Real Time Tactics, Singleplayer, Indie, Isometric, Historical, Assassin, Action, RTS, Difficult, Violent, Atmospheric, Third Person, Adventure, Survival, Puzzle, Great Soundtrack	32981	96.1856826657773	3.9	25	57	NA	Mimimi Games	Daedalic Entertainment
Slime-san	473530	Action, Adventure, Indie	Platformer, Precision Platformer, 2D Platformer, Difficult, Funny, Indie, Action, Adventure, Great Soundtrack, Pixel Graphics, Arcade, Fast-Paced, Singleplayer, Puzzle-Platformer, Anime, Level Editor, Local Co-Op, Local Multiplayer, Replay Value, Retro	276	86.231884057971	3.9	9	49	NA	Fabraz	Headup
Mirror 2: Project X	1832640	Adventure, Indie, RPG, Early Access	3D, Match 3, Anime, Female Protagonist, Drama, Visual Novel, Interactive Fiction, Singleplayer, Multiple Endings, RPG, FPS, Story Rich, Casual, FMV, Colorful, Adventure, Early Access, Indie, 3D Platformer, Shooter	111662	27.4838351453494	3.9	2	6	X	KAGAMI Ⅱ WORKs	NIJICO
Broken Dreams	444480	Casual, Indie	Indie, Casual, Platformer	462	70.3463203463203	3.9	1	1	NA	Mihai Morosanu	New Reality Games
GOD EATER RESURRECTION	460870		Anime, Action, RPG, JRPG, Adventure, Character Customization	582	75.7731958762887	3.9	31	91	NA	BANDAI NAMCO Studio, SHIFT, QLOC	BANDAI NAMCO Entertainment
Carmageddon: Max Damage	505170	Action	Combat Racing, Gore, Racing, Action, Vehicular Combat, Automobile Sim, Multiplayer, Destruction, Funny, Driving, Comedy, Violent, Open World, Singleplayer, Dark Humor, Physics, Arcade, Memes	2854	77.2249474421864	3.9	15	40	NA	Stainless Games Ltd	THQ Nordic
Shank	6120	Action, Indie	Action, Beat 'em up, Indie, 2D, Side Scroller, Local Co-Op, Platformer, Gore, Singleplayer, Co-op, Short, Controller, Hack and Slash, Adventure, Multiplayer, Local Multiplayer, Old School, Violent, Great Soundtrack, Cartoon	3102	89.7485493230174	3.9	3	10	NA	Klei Entertainment	Klei Entertainment
Styx: Master of Shadows	242640	Action	Stealth, Fantasy, Singleplayer, Action, Adventure, Third Person, RPG, Assassin, Parkour, Steampunk, Dark Fantasy, Atmospheric, Magic, Story Rich, Difficult, Open World, Great Soundtrack, Indie, Gore, Multiplayer	8905	82.9309376754632	3.9	17	43	NA	Cyanide Studio	Cyanide Studio, Nacon
Cube Destroyer	440760	Action, Indie	Indie, Action, Singleplayer, Top-Down, Shoot 'Em Up, Arcade, Shooter, Destruction, Difficult	1146	85.3403141361257	3.9	0	2	NA	Freedomize Studio	Freedomize Studio
Pesadelo - Regressão	378930	Action, Adventure, Indie	Indie, Action, Adventure, Horror, Survival Horror, Psychological Horror	133	67.6691729323308	3.9	Sin registro de tiempo	Sin registro de tiempo	NA	Skyjaz Games	Skyjaz Games
Beastiarium	545150	Action, Adventure, Indie	Indie, Adventure, Horror, Atmospheric, Puzzle, First-Person, Action, Dystopian , Cute, Action-Adventure	118	50	3.9	1	0	NA	Fazan	Fazan
Hentai Girl	878750	Casual, Indie, RPG, Simulation	Sexual Content, Nudity, Mature, Anime, Puzzle, Casual, Indie, Singleplayer, Relaxing, Horror	5112	91.1971830985916	3.8	0	1	X	GirlGames	GirlGames
Orcs Must Die!	102600	Action, Indie, Strategy	Tower Defense, Action, Strategy, Third Person, Fantasy, Indie, Singleplayer, Comedy, Funny, Third-Person Shooter, Cartoony, Magic, Great Soundtrack, Score Attack, Multiplayer, Addictive, Shooter, Adventure, RPG, Arcade	7251	96.4142876844573	3.8	8	27	NA	Robot Entertainment	Robot Entertainment
100% Orange Juice	282800	Indie, Strategy	Anime, Board Game, Cute, Multiplayer, Strategy, Card Game, Turn-Based, Indie, Casual, Funny, Great Soundtrack, Co-op, Singleplayer, Female Protagonist, Difficult, Memes, 2D, Family Friendly, Comedy, Survival Horror	23800	92.9411764705882	3.8	7	97	NA	Orange_Juice	Fruitbat Factory
Party Hard	356570	Action, Indie, Strategy	Pixel Graphics, Strategy, Stealth, Indie, Action, Violent, Villain Protagonist, Gore, Great Soundtrack, Singleplayer, Dark Humor, 2D, Crime, Retro, Difficult, Top-Down, Funny, Horror, Story Rich, Comedy	9022	89.1819995566393	3.8	6	13	NA	Pinokl Games, Kverta	tinyBuild
Dustforce	65300	Action, Indie	Precision Platformer, Platformer, Great Soundtrack, Indie, Difficult, Time Attack, 2D, Action, Stylized, Local Multiplayer, Local Co-Op, Score Attack, Level Editor, Side Scroller, Fast-Paced, Singleplayer, Atmospheric, Parkour, 4 Player Local, 2D Platformer	2184	87.6831501831502	3.8	34	41	NA	Hitbox Team	
Furi	423230	Action	Action, Difficult, Bullet Hell, Singleplayer, Indie, Boss Rush, Hack and Slash, Atmospheric, Fast-Paced, Beat 'em up, Controller, Story Rich, Sci-fi, Cyberpunk, Shoot 'Em Up, Great Soundtrack, Top-Down, Third Person, Replay Value, Violent	10372	90.8985730813729	3.8	6	16	NA	The Game Bakers	The Game Bakers
Gorky 17	253920		RPG, Strategy, Turn-Based, Classic, Horror, Post-apocalyptic, Singleplayer, Turn-Based Strategy, Isometric, Tactical, Sci-fi, Atmospheric, Tactical RPG, Turn-Based Tactics	1857	78.8906838987614	3.8	9	14	NA		Topware Interactive ACE
FX Football - The Manager for Every Football Fan	265400	Simulation, Sports, Strategy	Sports, Simulation, Strategy, Football, Soccer	175	44.5714285714286	3.8	NA	NA	NA	FX Interactive	FX Interactive
Day One: Garry's Incident	242800	Action, Adventure, Indie	Survival, Indie, Adventure, Action, Psychological Horror, Crafting, Open World, Multiplayer, Illuminati, FPS, Memes, Singleplayer, First-Person, Zombies, Dating Sim, Shooter, Sandbox, Simulation, Co-op, Sci-fi	2324	19.2771084337349	3.8	3	4	NA	Wild Games Studio	Wild Games Studio
PAC-MAN 256	455400	Action	Action, Arcade, Retro, Casual, Multiplayer, Singleplayer, Pixel Graphics, Local Multiplayer, Local Co-Op, Classic, 4 Player Local, Rogue-like, Family Friendly, Memes	1743	92.3694779116466	3.8	4	19	NA	BANDAI NAMCO Studios Vancouver, Hipster Whale, 3 Sprockets	BANDAI NAMCO Entertainment
Wargame: Red Dragon	251060	Indie, Simulation, Strategy	Strategy, RTS, Military, Realistic, Wargame, Cold War, Tactical, Multiplayer, Real Time Tactics, War, Simulation, Naval, Alternate History, Singleplayer, Action, Real-Time, Co-op, Difficult, Epic, Adventure	16683	89.1925912605646	3.8	124	0	NA	Eugen Systems	Eugen Systems
One Finger Death Punch 2	980300	Action, Casual, Indie	Action, Indie, Beat 'em up, Casual, Fast-Paced, Martial Arts, 2D, Arcade, 2D Fighter, Mouse only, Gore, Singleplayer, Violent, Difficult, Great Soundtrack, Rhythm, Fighting	4004	96.6533466533466	3.8	11	26	NA	Silver Dollar Games	Silver Dollar Games
HoPiKo	437390	Action, Casual, Indie	Indie, Casual, Action, Platformer, Great Soundtrack, Difficult	195	75.3846153846154	3.8	5	0	NA	Laser Dog	Merge Games
Quantum Break	474960	Action	Action, Story Rich, Time Manipulation, Sci-fi, Singleplayer, Third Person, Cinematic, Third-Person Shooter, Choices Matter, Atmospheric, Time Travel, Episodic, Adventure, Shooter, Bullet Time, Great Soundtrack, Controller, Open World, FMV, Stealth	23234	85.5513471636395	3.8	10	19	NA	Remedy Entertainment	Xbox Game Studios
Questerium: Sinister Trinity HD	320610	Adventure, Casual	Adventure, Casual, Hidden Object, Puzzle, Point & Click, Mystery, Indie, Atmospheric	185	78.9189189189189	3.8	3	4	NA	URSE Games	ESDigital Games
Holodrive	370770	Action, Free to Play, Indie	Free to Play, Indie, Multiplayer, Action, Shooter, 2D, Platformer, Early Access, Character Customization, PvP, Co-op, 2.5D	1245	79.1164658634538	3.8	Sin registro de tiempo	Sin registro de tiempo	NA	BitCake Studio	Versus Evil
Randal's Monday	314810	Adventure, Indie	Adventure, Indie, Point & Click, Comedy, Dark Humor, Funny, 2D, Story Rich, Hand-drawn, Puzzle, Singleplayer	1348	77.0029673590504	3.8	14	18	NA	Nexus Game Studios	Daedalic Entertainment
Screencheat	301970	Action, Indie	Split Screen, FPS, Arena Shooter, Shooter, Funny, Multiplayer, 4 Player Local, Local Multiplayer, Action, Local Co-Op, First-Person, Comedy, Controller, Stylized, Co-op, Great Soundtrack, Casual, Difficult, Online Co-Op, Singleplayer	1704	91.8427230046948	3.8	3	9	NA	Samurai Punk	Samurai Punk
Deadly Premonition: The Director's Cut	247660	Action, Adventure	Story Rich, Adventure, Horror, Open World, Action, Great Soundtrack, Funny, Surreal, Detective, Cult Classic, Investigation, Mystery, Atmospheric, Third Person, Singleplayer, Comedy, Exploration, Psychological Horror, Thriller, Third-Person Shooter	3830	67.2584856396867	3.8	18	36	NA	Rising Star Games	Rising Star Games
Starward Rogue	410820	Action, Indie	Action, Indie, Action Roguelike, Bullet Hell, Rogue-lite, Shoot 'Em Up, Rogue-like, Twin Stick Shooter, Space, 2D, Difficult, Sci-fi, Great Soundtrack, Singleplayer, Dungeon Crawler, Top-Down Shooter, Mechs, Arcade, Moddable, Procedural Generation	471	91.7197452229299	3.8	3	0	NA	Arcen Games, LLC	Arcen Games, LLC
Mahjong Deluxe 2: Astral Planes	500570	Casual	Casual, Puzzle	94	51.063829787234	3.8	0	4	NA	EnsenaSoft	EnsenaSoft
The Tower Of Elements	377310	Action, Indie	Indie, Action	326	57.0552147239264	3.8	Sin registro de tiempo	Sin registro de tiempo	NA	Wulo Games	Back To Basics Gaming
Fahrenheit: Indigo Prophecy Remastered	312840	Adventure, RPG	Story Rich, Quick-Time Events, Adventure, Atmospheric, Mystery, Singleplayer, Choices Matter, Nudity, Cinematic, Detective, Action, Horror, Classic, Supernatural, Mature, Great Soundtrack, Noir, Remake, Female Protagonist, RPG	5247	80.4840861444635	3.8	8	10	NA	Aspyr, Quantic Dream (original release)	Aspyr
